epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,16238.6,0.65437,0.54138,1.03879,0.85532,0.79926,0.87154,0.69347,0.8369,0.6282,1.11062,0.002212,0.002212,0.002212
120,16374.8,0.6426,0.53274,1.03343,0.85138,0.80206,0.87124,0.69328,0.83686,0.62819,1.11067,0.002146,0.002146,0.002146
121,16511,0.64383,0.53627,1.03647,0.8486,0.8035,0.87097,0.69283,0.8371,0.62831,1.111,0.00208,0.00208,0.00208
122,16646.8,0.64406,0.52876,1.03262,0.84551,0.8069,0.87083,0.6928,0.83731,0.62855,1.11124,0.002014,0.002014,0.002014
123,16782.6,0.63914,0.52541,1.03197,0.84623,0.80615,0.87078,0.69261,0.83793,0.6286,1.11186,0.001948,0.001948,0.001948
124,16918.6,0.63765,0.52219,1.02896,0.84429,0.80763,0.87052,0.69261,0.83841,0.62886,1.11237,0.001882,0.001882,0.001882
125,17055.1,0.63554,0.52074,1.03083,0.84454,0.80777,0.87038,0.69257,0.83895,0.62875,1.11302,0.001816,0.001816,0.001816
126,17191.5,0.63047,0.51576,1.02637,0.84633,0.8067,0.87037,0.69264,0.83939,0.62867,1.11348,0.00175,0.00175,0.00175
127,17327.3,0.62903,0.50871,1.02478,0.84706,0.80607,0.87025,0.69219,0.83999,0.62908,1.11402,0.001684,0.001684,0.001684
128,17463.6,0.62795,0.50959,1.0258,0.84813,0.80415,0.87025,0.69201,0.84087,0.62932,1.11495,0.001618,0.001618,0.001618
129,17600.4,0.62272,0.50563,1.02349,0.84849,0.80455,0.86981,0.69211,0.84151,0.62952,1.11564,0.001552,0.001552,0.001552
130,17735.3,0.62009,0.50136,1.02215,0.84806,0.80487,0.86947,0.69177,0.84227,0.62985,1.11645,0.001486,0.001486,0.001486
131,17870.4,0.61301,0.4949,1.01871,0.85092,0.80269,0.8693,0.69173,0.84301,0.63017,1.11715,0.00142,0.00142,0.00142
132,18004.9,0.6099,0.49343,1.01715,0.85127,0.80261,0.86923,0.69148,0.84375,0.63036,1.11791,0.001354,0.001354,0.001354
133,18139.5,0.61353,0.49214,1.01706,0.85142,0.803,0.86919,0.69136,0.84405,0.63059,1.11837,0.001288,0.001288,0.001288
134,18274.3,0.60669,0.48807,1.01307,0.84947,0.80471,0.86913,0.69124,0.84479,0.63093,1.11904,0.001222,0.001222,0.001222
135,18409.9,0.60546,0.48562,1.01144,0.84859,0.80525,0.86904,0.69122,0.84509,0.63151,1.11929,0.001156,0.001156,0.001156
136,18545.2,0.60417,0.48333,1.01085,0.84919,0.8052,0.86863,0.6913,0.84572,0.63206,1.11984,0.00109,0.00109,0.00109
137,18680.3,0.60099,0.47465,1.00777,0.8478,0.8059,0.86846,0.69094,0.84633,0.63294,1.12063,0.001024,0.001024,0.001024
138,18815.9,0.59905,0.47508,1.01003,0.84912,0.80402,0.8684,0.69052,0.84691,0.63347,1.12145,0.000958,0.000958,0.000958
139,18952.8,0.59376,0.47053,1.00655,0.84891,0.80338,0.86806,0.69067,0.84757,0.63394,1.12229,0.000892,0.000892,0.000892
140,19089.3,0.59389,0.4671,1.00524,0.84872,0.80327,0.86777,0.6906,0.84765,0.63481,1.12252,0.000826,0.000826,0.000826
141,19227.2,0.52407,0.3326,0.93691,0.85074,0.80288,0.86758,0.69039,0.84786,0.63508,1.12285,0.00076,0.00076,0.00076
142,19363.2,0.50473,0.31053,0.92833,0.84838,0.80424,0.86729,0.69016,0.8485,0.6353,1.12381,0.000694,0.000694,0.000694
143,19499.2,0.50203,0.3062,0.92763,0.84922,0.80318,0.86713,0.68995,0.84922,0.63571,1.12475,0.000628,0.000628,0.000628
144,19634.3,0.49299,0.3011,0.92184,0.84988,0.80243,0.86692,0.68978,0.84962,0.63626,1.12546,0.000562,0.000562,0.000562
145,19770.1,0.49036,0.29597,0.91973,0.84526,0.80567,0.86679,0.68946,0.85066,0.63685,1.12685,0.000496,0.000496,0.000496
146,19905.9,0.48493,0.29177,0.91852,0.84571,0.80453,0.86636,0.68919,0.851,0.63739,1.1277,0.00043,0.00043,0.00043
147,20041.7,0.48317,0.28845,0.91558,0.8462,0.8047,0.86631,0.68888,0.85158,0.63792,1.12876,0.000364,0.000364,0.000364
148,20177.7,0.47912,0.28494,0.91399,0.84581,0.80478,0.8661,0.68887,0.85215,0.63902,1.12972,0.000298,0.000298,0.000298
149,20313.6,0.47324,0.28339,0.91195,0.8466,0.80417,0.86586,0.68865,0.85275,0.63976,1.13071,0.000232,0.000232,0.000232
150,20449.4,0.47323,0.2813,0.91114,0.84672,0.80396,0.86556,0.68854,0.85347,0.64017,1.1319,0.000166,0.000166,0.000166
