epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,17654,0.67878,0.57912,1.05678,0.83656,0.81663,0.87223,0.69047,0.83763,0.63173,1.11442,0.002872,0.002872,0.002872
110,17815.1,0.67059,0.57153,1.05175,0.84072,0.81346,0.87209,0.69072,0.83756,0.63156,1.1145,0.002806,0.002806,0.002806
111,17975.7,0.6722,0.57276,1.05428,0.83777,0.81593,0.87178,0.69071,0.8376,0.63139,1.11466,0.00274,0.00274,0.00274
112,18136.5,0.67159,0.56707,1.05223,0.834,0.81722,0.87143,0.69082,0.83794,0.63098,1.11502,0.002674,0.002674,0.002674
113,18297.9,0.66771,0.56384,1.04825,0.83645,0.81537,0.87127,0.69079,0.83793,0.63107,1.11493,0.002608,0.002608,0.002608
114,18460.2,0.66414,0.56169,1.04733,0.84304,0.80905,0.87111,0.69029,0.83843,0.63103,1.11554,0.002542,0.002542,0.002542
115,18622.3,0.65673,0.55433,1.04009,0.84324,0.80939,0.87102,0.69031,0.83872,0.63115,1.1158,0.002476,0.002476,0.002476
116,18783.3,0.66024,0.54879,1.04213,0.84521,0.80792,0.87087,0.69052,0.83873,0.63128,1.11589,0.00241,0.00241,0.00241
117,18944.8,0.6527,0.54361,1.04038,0.84869,0.80442,0.8708,0.69033,0.83894,0.63148,1.11591,0.002344,0.002344,0.002344
118,19105.3,0.65221,0.54005,1.0403,0.84782,0.80579,0.87055,0.69016,0.83911,0.6314,1.11603,0.002278,0.002278,0.002278
119,19267.2,0.65277,0.54151,1.03718,0.84867,0.80484,0.87041,0.69,0.83943,0.63142,1.1164,0.002212,0.002212,0.002212
120,19428.7,0.64196,0.53386,1.0338,0.84972,0.80496,0.87007,0.68981,0.83984,0.63135,1.11694,0.002146,0.002146,0.002146
121,19589.7,0.64432,0.53454,1.03576,0.84993,0.80455,0.86993,0.6898,0.84025,0.63125,1.11726,0.00208,0.00208,0.00208
122,19751.8,0.64289,0.53076,1.03236,0.84892,0.80507,0.86983,0.68971,0.84034,0.63152,1.11728,0.002014,0.002014,0.002014
123,19913.1,0.63987,0.52542,1.03185,0.84746,0.80609,0.86973,0.68995,0.84094,0.63155,1.11784,0.001948,0.001948,0.001948
124,20074.6,0.63757,0.52211,1.02997,0.84679,0.80586,0.86941,0.68966,0.8414,0.63145,1.11835,0.001882,0.001882,0.001882
125,20235.2,0.63516,0.52244,1.03173,0.84752,0.80554,0.86947,0.68948,0.84181,0.6314,1.11858,0.001816,0.001816,0.001816
126,20396.4,0.63026,0.51353,1.02775,0.84746,0.80456,0.86947,0.68965,0.84204,0.63149,1.1188,0.00175,0.00175,0.00175
127,20557.7,0.62778,0.50936,1.02368,0.8482,0.80336,0.86927,0.68948,0.84245,0.63144,1.1191,0.001684,0.001684,0.001684
128,20718.9,0.62809,0.51085,1.02757,0.84749,0.80318,0.86911,0.68932,0.84271,0.6314,1.11942,0.001618,0.001618,0.001618
129,20880.3,0.62449,0.50774,1.02408,0.84751,0.80319,0.869,0.68952,0.84299,0.63156,1.1197,0.001552,0.001552,0.001552
130,21041.8,0.6197,0.50222,1.02294,0.84834,0.80208,0.8688,0.6893,0.84302,0.63205,1.11989,0.001486,0.001486,0.001486
131,21202.5,0.61358,0.49568,1.01873,0.84781,0.80158,0.86863,0.68894,0.84353,0.63251,1.12046,0.00142,0.00142,0.00142
132,21363.9,0.61125,0.49437,1.01816,0.84848,0.80036,0.86835,0.68902,0.84404,0.63309,1.12106,0.001354,0.001354,0.001354
133,21525,0.6122,0.49302,1.01818,0.84446,0.80451,0.86815,0.68884,0.8446,0.63376,1.12164,0.001288,0.001288,0.001288
134,21685.9,0.60836,0.48805,1.01576,0.84498,0.8039,0.86803,0.68889,0.84499,0.63433,1.12204,0.001222,0.001222,0.001222
135,21847.1,0.60734,0.48586,1.01295,0.845,0.80352,0.86778,0.68871,0.84525,0.6349,1.12248,0.001156,0.001156,0.001156
136,22008.6,0.60453,0.4828,1.01269,0.84618,0.8026,0.86768,0.68869,0.84543,0.63541,1.12278,0.00109,0.00109,0.00109
137,22170.4,0.60076,0.474,1.00988,0.8483,0.80163,0.86787,0.68876,0.84581,0.63571,1.12317,0.001024,0.001024,0.001024
138,22332.1,0.59838,0.47686,1.00999,0.84945,0.80135,0.86768,0.68873,0.84589,0.63611,1.12331,0.000958,0.000958,0.000958
